module,component,description,inputs,outputs,code,inventory,catalog
tools.analysis_irt,calibrate_grm,Alias for calibrate_irt (backwards compatibility),"df_long, groups, config","tuple of (df_thetas, df_items)",EXISTS,EXISTS,MISSING
tools.analysis_irt,calibrate_irt,Main IRT calibration pipeline (end-to-end),"df_long, groups, config (factors/correlated_factors/device/model_fit/model_scores/invert_scale/seed)","tuple of (df_thetas, df_items)",EXISTS,EXISTS,MISSING
tools.analysis_irt,configure_irt_model,Build unfitted deepirtools IWAVE GRM model,"n_items, n_factors, n_cats, Q_matrix, correlated_factors, device, seed",configured IWAVE model (unfitted),EXISTS,EXISTS,MISSING
tools.analysis_irt,extract_item_parameters,Extract IRT item parameters (discrimination and difficulty),"model, item_list, factor_names, n_cats","df_items (item_name, Difficulty, Overall_Discrimination, Discrim_Factor1, ...)",EXISTS,EXISTS,MISSING
tools.analysis_irt,extract_theta_scores,Extract ability estimates (theta) from fitted model,"model, response_matrix, missing_mask, composite_ids, factor_names, scoring_batch_size, invert_scale","df_thetas (UID, test, Theta_Factor1, Theta_Factor2, ...)",EXISTS,EXISTS,MISSING
tools.analysis_irt,fit_irt_model,Fit IWAVE model to response data via variational inference,"model, response_matrix, missing_mask, batch_size, iw_samples, mc_samples",fitted IWAVE model (in-place),EXISTS,EXISTS,MISSING
tools.analysis_irt,prepare_irt_data,Convert long-format responses to IRT matrices,"df_long (UID/test/item_name/score), groups (factor mappings)","response_matrix, Q_matrix, missing_mask, item_list, composite_ids",EXISTS,EXISTS,MISSING
tools.analysis_irt,purify_items,2-pass IRT purification (Decision D039),"df_items, a_threshold (0.4), b_threshold (3.0)","tuple of (df_purified, df_excluded with exclusion_reason)",EXISTS,EXISTS,MISSING
tools.analysis_lmm,compare_models,Fit all candidate models and compare via AIC,"data, n_factors, reference_group, groups (UID), save_dir",dict with models/aic_comparison/best_model_name/best_model,EXISTS,EXISTS,MISSING
tools.analysis_lmm,compute_effect_sizes,Compute Cohen's fÂ² effect sizes for LMM fixed effects,"lmm_result, include_interactions (False)","DataFrame (effect, f_squared, interpretation)",EXISTS,EXISTS,MISSING
tools.analysis_lmm,configure_candidate_models,Generate formulas for 5 candidate LMM models,"n_factors (1 or >1), reference_group (e.g. What)","dict of {model_name: {formula, re_formula}}",EXISTS,EXISTS,MISSING
tools.analysis_lmm,extract_fixed_effects,Extract fixed effects table from fitted LMM,statsmodels.MixedLMResults,"DataFrame (Term, Coef, Std_Err, z, P_value, CI_lower, CI_upper)",EXISTS,EXISTS,MISSING
tools.analysis_lmm,extract_random_effects,Extract random effects variances and ICC,statsmodels.MixedLMResults,dict with re_variance/residual_variance/icc,EXISTS,EXISTS,MISSING
tools.analysis_lmm,fit_lmm_model,Fit single linear mixed model via statsmodels,"data, formula, groups, re_formula, reml (False)",statsmodels.MixedLMResults object,EXISTS,EXISTS,MISSING
tools.analysis_lmm,fit_lmm_with_tsvr,Fit LMM using TSVR (Time Since VR) as time variable (Decision D070),"theta_scores, tsvr_data (composite_ID/test/tsvr hours), formula, groups (UID), re_formula, reml (False)",statsmodels.MixedLMResults object,EXISTS,EXISTS,MISSING
tools.analysis_lmm,post_hoc_contrasts,Compute post-hoc pairwise contrasts with dual reporting (Decision D068),"lmm_result, comparisons (list), family_alpha (0.05)","DataFrame (comparison, beta, se, z, p_uncorrected, alpha_corrected, p_corrected, sig_uncorrected, sig_corrected)",EXISTS,EXISTS,MISSING
tools.analysis_lmm,prepare_lmm_data,Convert theta scores wide to long format + add time variables,"theta_scores (wide format), factors (list of theta columns)","df_long (UID, test, Factor, Ability, Days, Days_sq, log_Days)",EXISTS,EXISTS,MISSING
tools.analysis_lmm,run_lmm_analysis,Complete LMM analysis pipeline (end-to-end),"theta_scores, output_dir, n_factors, reference_group, save_models",dict with df_long/best_model_name/best_model/aic_comparison/fixed_effects/random_effects,EXISTS,EXISTS,MISSING
tools.config,deep_merge,Merge nested dicts (for RQ-specific overrides),"base_dict, override_dict",merged dict,EXISTS,EXISTS,MISSING
tools.config,expand_env_vars,Expand environment variables in path strings,path_str (string),expanded string,EXISTS,MISSING,MISSING
tools.config,get_config,Get config value by dot-notation path,"config_name, key_path (optional dot notation)",value from config,EXISTS,EXISTS,MISSING
tools.config,get_irt_config,Shortcut for IRT config,key_path (optional),value from IRT config,EXISTS,EXISTS,MISSING
tools.config,get_lmm_config,Shortcut for LMM config,key_path (optional),value from LMM config,EXISTS,EXISTS,MISSING
tools.config,get_path,Get path from config/paths.yaml with environment variable expansion,"key_path, **kwargs (substitution variables)",Path object,EXISTS,EXISTS,MISSING
tools.config,get_plot_config,Shortcut for plotting config,key_path (optional),value from plotting config,EXISTS,EXISTS,MISSING
tools.config,load_config,Load YAML config by name,config_name (paths/plotting/irt/lmm),dict with config contents,EXISTS,EXISTS,MISSING
tools.config,load_rq_config,Load RQ-specific config with overrides,"chapter (int), rq (int)",dict with RQ config,EXISTS,EXISTS,MISSING
tools.config,reset_cache,Reset config cache (testing helper),None,None,EXISTS,MISSING,MISSING
tools.config,validate_irt_config,Validate IRT config (non-statistical utility),config (dict),dict with validation results,EXISTS,EXISTS,MISSING
tools.config,validate_paths,Validate paths in config (non-statistical utility),config_name,dict with validation results,EXISTS,EXISTS,MISSING
tools.plotting,plot_diagnostics,2x2 diagnostic grid for regression validation,"df, fitted_col (fitted), residuals_col (residuals), group_col, save_path","tuple of (fig, axes)",EXISTS,EXISTS,MISSING
tools.plotting,plot_histogram_by_group,Grouped histogram with overlapping distributions,"df, value_col, group_col, bins (20), vline, xlabel, ylabel, title, save_path","tuple of (fig, ax)",EXISTS,EXISTS,MISSING
tools.plotting,plot_trajectory,Trajectory plot with fitted curves + observed errorbars,"time_pred, fitted_curves (dict), observed_data, time_col, value_col, group_col, xlabel, ylabel, title, save_path, show_errorbar","tuple of (fig, ax)",EXISTS,EXISTS,MISSING
tools.plotting,plot_trajectory_probability,Plot trajectory with theta transformed to probability scale (Decision D069),"df_thetas, item_parameters_path, time_var (test), factors, save_path","tuple of (fig, ax, prob_data)",EXISTS,EXISTS,MISSING
tools.plotting,save_plot_with_data,Save plot as PNG + associated data as CSV (reproducibility),"fig, output_path, data (optional DataFrame), dpi (300)",None (saves PNG + CSV files),EXISTS,EXISTS,MISSING
tools.plotting,setup_plot_style,Apply consistent matplotlib/seaborn styling,config_path (optional),None (applies styling in-place),EXISTS,EXISTS,MISSING
tools.plotting,theta_to_probability,Convert IRT ability (theta) to probability via 2PL response function,"theta (scalar or array), discrimination (a), difficulty (b)",probability array (0 to 1),EXISTS,EXISTS,MISSING
tools.validation,check_missing_data,Check for missing data in DataFrame,DataFrame,dict with has_missing/total_missing/total_cells/percent_missing/missing_by_column,EXISTS,EXISTS,MISSING
tools.validation,create_lineage_metadata,Create metadata for data transformation (provenance tracking),"source_file, output_file, operation, parameters (dict), description",dict with timestamp/source/output/operation/parameters/description,EXISTS,EXISTS,MISSING
tools.validation,generate_validation_report,Generate comprehensive validation report,"validation_checks (list of dicts), report_title",dict with report_title/timestamp/overall_status/n_checks/checks,EXISTS,EXISTS,MISSING
tools.validation,load_lineage,Load lineage metadata from JSON,file_path,dict with lineage metadata,EXISTS,MISSING,MISSING
tools.validation,save_lineage,Save lineage metadata to JSON,"metadata (dict), file_path",None (saves JSON file),EXISTS,EXISTS,MISSING
tools.validation,save_validation_report,Save validation report to JSON,"report (dict), report_file",None (saves JSON file),EXISTS,EXISTS,MISSING
tools.validation,validate_data_columns,Validate required columns exist,"df, required_columns (list)",dict with valid/missing_columns/existing_columns/n_required/n_missing,EXISTS,EXISTS,MISSING
tools.validation,validate_file_exists,Validate file exists,file_path,dict with exists/file_path/message,EXISTS,EXISTS,MISSING
tools.validation,validate_irt_convergence,Validate IRT model convergence,results (dict with model_converged/final_loss/epochs_run),dict with converged/message/final_loss/epochs_run,EXISTS,EXISTS,MISSING
tools.validation,validate_irt_parameters,Validate IRT item parameters for psychometric quality,"df_items, a_min (0.4), b_max (3.0), a_col (a), b_col (b)",dict with valid/n_flagged/flagged_items/total_items,EXISTS,EXISTS,MISSING
tools.validation,validate_lineage,Validate data comes from expected source,"actual_source, expected_source",dict with valid/message,EXISTS,MISSING,MISSING
tools.validation,validate_lmm_convergence,Validate LMM convergence,statsmodels.MixedLMResults,dict with converged/message,EXISTS,EXISTS,MISSING
tools.validation,validate_lmm_residuals,Validate LMM residuals for normality,"residuals (array), alpha (0.05)",dict with n_residuals/normality_test/residual_stats,EXISTS,EXISTS,MISSING
tools.validation,validate_numeric_range,Validate numeric data falls within expected range,"data, min_val, max_val, column_name",dict with valid/n_out_of_range/total_values/column_name/data_min/data_max,EXISTS,EXISTS,MISSING
