UID,Total_Intercept_What_z,Total_Intercept_Where_z,Total_Slope_What_z,Total_Slope_Where_z
A010,1.2479177768414815,1.3702473012376268,-0.4044714775754025,-1.7435150501147223
A011,0.39228358351153925,0.06278461710526284,-0.8508042753998072,-0.5520656932357586
A012,0.5552393614146083,0.6347899113516197,-0.08215944879738338,0.01575441530383359
A013,-0.24102008053634497,-0.46780335653836247,0.8376046851140031,1.061726739554025
A014,1.1867705262630541,0.7527091511076935,0.107483021484928,-0.38460932499073963
A015,2.277561932296144,2.1616492198243376,0.8537383286377492,0.09342434218950094
A016,-0.017279312364339817,0.4970214308027896,-1.0466513577864414,-1.3620234510109939
A017,0.36186080119386055,0.15137238938774591,2.2261340042649174,1.1236693573667713
A018,-0.31841916746143845,-0.22824346088262515,0.4092585082533796,0.5201509603980994
A019,-1.293834590618934,-1.9652958549517165,-0.6204602632312012,0.3610500013485555
A020,-1.204940773950927,-1.1784481520283447,-1.1747258016619657,-0.5367165155041198
A021,1.1230429156833486,1.0045341298661326,0.9866705290220655,0.34492860840856543
A022,-0.1309724474551509,-0.03394736957464468,1.3711768889866713,1.316637222459116
A023,0.08060319763147081,0.0802043021415773,0.6181335323271112,0.18498460582383855
A024,-0.12165440406635226,-0.07637916975550298,0.9914675055509952,0.2002224022419208
A025,0.4167545938306099,0.7998458593071195,-1.3712178855837793,-0.9203700393503716
A026,0.43698790585736746,0.5663231952305148,0.44332330267573644,0.012226287809991068
A027,-0.10757425783395028,0.0019322151452674295,-0.976956712515573,-0.6982719325355843
A028,0.42708962113300664,0.1934735613473074,-0.9651200641994393,-1.5690280996632135
A029,1.3897550423910414,1.605510857571113,1.2503302836833015,-0.03425207383676524
A030,0.31979519666640155,0.48147411635335424,0.9832793580360052,1.397667843960359
A031,0.7710155996575889,0.8395155863256706,-1.540001516237647,-2.18366418302293
A032,1.1235391292714794,0.8335152660435338,1.7510982533509896,1.4893035765092422
A033,0.4816750746973851,0.1836416161175464,1.385694900488047,0.8649302495057742
A034,0.8486099922781752,0.994779964855647,-0.7090240019682897,-1.133085996653876
A035,-0.17407105175412027,-0.3789320939816837,0.646032085101634,0.7205828442838051
A036,0.06419018076905865,-0.09225965340979322,-0.6417513189267386,-1.3973572889563417
A037,0.9492296530241106,0.97830797593827,-0.2021350734369649,-0.5452064700088284
A038,0.8631900590399616,0.6819095839248513,0.2649887789356255,-0.0843299984215226
A039,1.7715320745335255,1.969296625553805,-0.25157833542727404,-0.8194966701287039
A040,-1.374025345294438,-1.3497986881262931,-0.8832371991409927,0.12035692791619958
A041,0.17458236673537902,0.18899568603095368,-0.2994745746397237,-0.19553772687877086
A042,-1.038858331258182,-1.5127389982287618,1.1664885668250802,1.6717917182252204
A043,0.5691581003073207,0.6829428729775243,0.5633056493361647,-0.3052029845231516
A044,-1.1062048571626784,-1.2288503749387343,-0.5743132992902115,-0.37519326388181834
A045,-1.6011830495893975,-1.8070509976156428,0.36430472940087383,1.3210210363770118
A046,-1.7753617391585648,-1.8208838232082927,-0.39212127606020275,1.2534089362232823
A047,-1.4737922372446932,-1.5619850460074565,-0.49589304659212713,0.8502814107329192
A048,0.44762218231951156,0.47491227182963186,0.5773861892955923,-0.5527257880922052
A049,0.8320618347238842,0.9114513321036032,-1.2295726329998427,-1.0833372342204601
A050,-1.3748027067669382,-1.111380815456911,0.1071684182134122,0.6193229113419207
A051,-0.20212261278493676,0.2614815196202316,-1.2111820127470139,-1.6479776071032637
A052,0.46392894165113563,-0.28363171834796286,-0.19376586072665256,0.36893318227470606
A053,0.6147471431862515,0.7017749506934448,0.05490519158841727,-0.739824097628406
A054,1.1705346577752045,1.1826368992016087,2.39580976911814,2.1407643547258295
A055,0.14577854251343889,0.06922731832374325,0.8964633236087767,0.24470784930928055
A056,-0.12297483952172632,-0.16179517702797513,0.06846416196941872,-0.30370312310148745
A057,-0.47553208915835055,-0.716317686267407,-0.2853256651960473,-0.41567454461420383
A058,-0.37945406124847025,-0.23149009465860482,-0.9050088487758619,-0.80809595144832
A059,1.5254918589926083,1.2276362082932644,1.3210953660429239,1.1570590263157292
A060,0.44345766469817915,-0.017304694602679346,1.381274613357419,1.2745870764873761
A061,1.5683927106607494,1.5059400714309064,-1.6791241931456535,-2.115714663979394
A062,0.30263400143664543,0.4354771970417942,-1.0356906828274692,-1.4298656638463347
A063,0.3934248575547548,0.4745087599011194,0.0024410669442856865,-0.32356915808826153
A064,0.823376854230108,0.25323831011064707,0.38961057972919877,0.09278003879581231
A065,-3.0856416234084887,-2.855185743710134,0.16407885600724922,1.7090863487981094
A066,-0.601592532948781,-0.764143381654116,-1.1590650613422513,-0.6009032458888307
A067,-0.9780620497995822,-1.1663718913049086,-1.884487680812883,-0.9570598227996758
A068,0.7378769543700718,0.5606344378564971,-0.7333650745002173,-0.3025790253519603
A069,-1.4318217505398942,-1.9936925292423942,0.10466368127911506,1.1788706216164435
A070,-0.09360953711448664,-0.27047006594857764,-0.1454292991127264,-0.7718267957062579
A071,0.16083619107944608,0.4172960737001312,-0.22797844373478013,-0.43993759154073486
A072,-0.04428711333217328,0.23772009807380973,-0.754370553293037,-0.39870168470476874
A073,0.19709147865700768,0.5760843334846522,0.7289745218114075,0.7423780458187234
A074,-0.7194706688433605,0.006083145798018101,-1.785447702257273,-1.1675991247093032
A075,-0.5598690544088557,-0.1544055123534481,-0.30972585860174306,-0.6563892288929702
A076,-1.7768228427239163,-1.6175910303293324,-1.297114380854267,-0.09240993929568674
A077,0.848811453793465,0.5491495151542476,0.29304240297793294,0.330707046090636
A078,-0.5421222626332791,-0.7640134188034501,0.13833008111801456,-0.11077651827483631
A079,-0.7965328252918245,-0.5539249179188522,-0.042865126784048906,-0.42912138964845925
A080,0.14518307964844943,0.12801859285508518,0.2569609919688184,0.42858317033586774
A081,0.2714669696257331,0.4465337291030187,1.3291757867809746,1.387284738497596
A082,0.7896108143687923,0.5637638668161948,0.857234759694618,0.8201293654615883
A083,0.8454347411392971,1.3815188769983675,-1.1014527877741151,-1.18931751362942
A084,-0.4575727402759746,0.03703437561118026,0.6105002151586293,0.6262623985524383
A085,0.31080171827617603,0.3680226590544255,0.6183182193806168,0.5021572469195962
A086,-0.6289011631134388,-0.31430622249758555,-0.8999058333068128,-1.2940834057863098
A087,0.9482969473262057,0.8789066088583729,0.2661227545182386,-0.40240020051687586
A088,2.0947449056782705,2.3164743709077773,1.1774390569126711,-0.7595834396200385
A089,1.0995287612030755,1.2714746297292232,0.042577285508427154,-0.384058344075686
A090,-1.1771727033976116,-0.8806694182650762,-1.6658378324525789,-0.12375114956976835
A091,-0.34446662112360144,-0.4548464977173106,-0.3976788210048189,-0.7280010250082464
A092,-1.2410735362423981,-1.0297865365544472,0.021468644499096055,0.48713173849852226
A093,0.6868514235050284,0.41050190120788527,1.8529147027209678,1.2825284673734068
A094,-1.235852991814253,-1.4190033791390129,-0.1626159689155705,0.7736831603728128
A095,0.26056558002636426,0.07070500086141122,-1.319187801818143,-1.576787477938305
A096,-2.315468245461057,-1.7801931112129248,-1.0415636431642807,0.12801052954438563
A097,0.08088603967360952,-0.06806718628076538,1.3222792825298775,1.6392973879223471
A098,0.6643149018996335,0.5681603815700348,1.0749795457188533,0.2091472319739232
A099,0.4934109634097326,1.0974925638362514,-0.05583269332201326,0.46778616998607536
A100,0.43687375925759825,0.10335042336568383,1.5932876599012806,1.697574999670305
A101,-1.973315027462132,-1.678941310709988,0.29711421085961276,1.245119858744129
A102,-0.05192638414487319,-0.1030624880200772,1.1422522483940505,0.5776872968459362
A103,-0.4890715285203841,-0.5139497200226729,-2.4460101999142374,-2.178600047544799
A104,0.3502114789971734,0.3437494953257192,-2.4143821109596773,-2.1854615125528993
A105,0.34914970046042987,0.35194848290628544,0.4460196542500687,0.4886947317724104
A106,1.2214902771546763,0.8975707208001126,0.7074063442492727,0.5812020883553253
A107,-1.7879916784343732,-1.9323654900747942,0.06091942402993722,1.0131459462876458
A108,-1.5602346908651958,-1.1337996621484108,0.29581678013056484,1.1240969520114181
A109,-1.1303165471907584,-1.123929818453973,0.04907499707202039,0.7469236105580567
