UID,Days,LocationType,theta
A010,0.0416666666666666,source,2.0556452
A010,0.9125,source,0.019023852
A010,3.37,source,-0.39116472
A010,6.054583333333333,source,0.6660674
A011,0.0416666666666666,source,0.049440503
A011,1.02375,source,-0.3012992
A011,3.0229166666666667,source,-0.6362023
A011,6.202083333333333,source,-0.10884156
A012,0.0416666666666666,source,0.97632885
A012,1.0666666666666669,source,-0.045672882
A012,6.930416666666667,source,1.4470131
A012,6.952916666666667,source,-0.9229851
A013,0.0416666666666666,source,-0.1832191
A013,1.0320833333333332,source,-0.76366305
A013,3.3191666666666664,source,0.66621304
A013,6.130416666666666,source,-1.986755
A014,0.0416666666666666,source,0.1762697
A014,1.0691666666666666,source,1.2848762
A014,2.94,source,0.106613435
A014,6.202916666666667,source,-1.1791711
A015,0.0416666666666666,source,1.5555048
A015,0.9870833333333334,source,1.6538595
A015,2.94125,source,1.5876491
A015,6.105833333333333,source,-0.15221702
A016,0.0416666666666666,source,1.9899976
A016,1.36875,source,1.5398525
A016,3.36,source,-0.06724659
A016,6.283333333333334,source,-1.1839314
A017,0.0416666666666666,source,-0.46000227
A017,0.85875,source,0.8895405
A017,2.553333333333333,source,0.16512735
A017,5.853750000000001,source,1.3103007
A018,0.0416666666666666,source,0.649043
A018,1.4179166666666667,source,0.37868747
A018,3.485,source,-0.41238874
A018,6.28625,source,0.40829763
A019,0.0416666666666666,source,-0.60214025
A019,1.1954166666666668,source,-0.99575174
A019,3.486666666666667,source,-0.3401855
A019,6.448333333333333,source,-1.1128601
A020,0.0416666666666666,source,0.42679676
A020,1.11875,source,0.5942169
A020,3.2604166666666665,source,-0.618497
A020,6.074166666666667,source,-1.7548065
A021,0.0416666666666666,source,1.5304267
A021,1.25875,source,-0.0847453
A021,3.09125,source,0.15186824
A021,5.8495833333333325,source,1.002628
A022,0.0416666666666666,source,0.13961065
A022,1.00625,source,0.7071582
A022,3.1025,source,0.7729729
A022,5.904583333333334,source,0.76675916
A023,0.0416666666666666,source,0.6350004
A023,1.0679166666666666,source,0.274433
A023,3.0083333333333333,source,0.77532303
A023,6.044583333333333,source,-0.21983404
A024,0.0416666666666666,source,0.35986423
A024,1.2320833333333334,source,0.6737768
A024,3.81125,source,-0.02988429
A024,6.0687500000000005,source,-1.3561323
A025,0.0416666666666666,source,1.0245328
A025,0.9720833333333332,source,1.6489308
A025,3.0391666666666666,source,0.24615791
A025,5.739166666666667,source,-0.28471696
A026,0.0416666666666666,source,1.0687755
A026,1.1033333333333333,source,-0.30248228
A026,3.1441666666666666,source,0.8586267
A026,6.152083333333334,source,-0.5246008
A027,0.0416666666666666,source,0.587018
A027,1.1775,source,0.88313293
A027,3.1075,source,-0.686271
A027,6.079999999999999,source,-0.6057106
A028,0.0416666666666666,source,1.1003414
A028,0.9508333333333332,source,-0.16850984
A028,3.0108333333333337,source,0.5016104
A028,5.787916666666667,source,-1.5766014
A029,0.0416666666666666,source,1.7070793
A029,1.184583333333333,source,0.43190303
A029,3.8858333333333337,source,1.1900728
A029,5.964166666666666,source,-0.19854482
A030,0.0416666666666666,source,0.6448623
A030,1.3729166666666668,source,0.92919636
A030,2.9970833333333338,source,0.60970914
A030,6.269166666666667,source,0.9906909
A031,0.0416666666666666,source,0.8938279
A031,1.3504166666666666,source,-0.21758041
A031,2.981666666666667,source,-0.42425665
A031,5.99375,source,-1.160498
A032,0.0416666666666666,source,1.0993094
A032,2.3825,source,-0.5363635
A032,3.34,source,0.25735825
A032,6.021249999999999,source,1.3438685
A033,0.0416666666666666,source,0.14887948
A033,1.215,source,0.27777234
A033,3.025,source,1.3641833
A033,7.013750000000001,source,-0.6918457
A034,0.0416666666666666,source,1.3907266
A034,1.086666666666667,source,1.3381073
A034,3.095,source,0.36700603
A034,6.0575,source,0.30434817
A035,0.0416666666666666,source,-0.506081
A035,1.865,source,0.8972279
A035,3.3325,source,-0.66686827
A035,6.352916666666666,source,-0.96954477
A036,0.0416666666666666,source,0.37146685
A036,0.90125,source,0.11184697
A036,2.9779166666666668,source,-0.29240212
A036,5.99375,source,-1.2874511
A037,0.0416666666666666,source,0.97691095
A037,0.9875,source,0.68761647
A037,3.0033333333333334,source,-0.02490145
A037,5.985833333333333,source,-0.33197016
A038,0.0416666666666666,source,1.2317379
A038,2.99375,source,-0.41110468
A038,3.035833333333333,source,1.6335392
A038,6.370416666666666,source,-0.2163811
A039,0.0416666666666666,source,2.0554147
A039,1.19375,source,0.33710867
A039,4.118333333333333,source,0.79235137
A039,10.26,source,0.68419135
A040,0.0416666666666666,source,-0.7356074
A040,1.0941666666666667,source,-0.5575312
A040,2.97,source,-1.8050435
A040,5.980416666666667,source,-0.8605421
A041,0.0416666666666666,source,1.085921
A041,1.3241666666666667,source,-1.0964279
A041,3.1558333333333333,source,-0.10368296
A041,5.91,source,0.55604047
A042,0.0416666666666666,source,-0.73253614
A042,1.2054166666666666,source,-1.347808
A042,3.0070833333333336,source,-0.69679284
A042,6.084166666666667,source,-1.4243762
A043,0.0416666666666666,source,0.38918123
A043,1.0675,source,0.42244467
A043,2.705833333333333,source,-0.3083771
A043,6.222083333333334,source,-0.09110191
A044,0.0416666666666666,source,-0.931087
A044,1.985833333333333,source,-0.10138068
A044,3.817916666666666,source,-1.4176146
A044,6.4695833333333335,source,-1.4225442
A045,0.0416666666666666,source,-0.72337794
A045,1.0275,source,-0.71070373
A045,3.009583333333333,source,-0.92465687
A045,6.3133333333333335,source,-0.47338516
A046,0.0416666666666666,source,-0.73696804
A046,1.0133333333333334,source,-1.524923
A046,3.04375,source,-1.6154169
A046,6.164166666666667,source,-0.8297869
A047,0.0416666666666666,source,-0.2630411
A047,0.9775,source,-0.08885454
A047,3.202083333333333,source,-1.2931772
A047,6.009166666666666,source,-1.5719998
A048,0.0416666666666666,source,1.0261309
A048,0.99625,source,0.2245945
A048,3.38125,source,-0.09986894
A048,6.095833333333334,source,-0.047569595
A049,0.0416666666666666,source,1.628672
A049,1.13,source,-1.2029359
A049,4.640833333333333,source,0.7503262
A049,7.035833333333334,source,0.10018365
A050,0.0416666666666666,source,-0.009817374
A050,1.0304166666666668,source,-0.8308533
A050,3.89125,source,-0.91882885
A050,6.195416666666667,source,-0.08620609
A051,0.0416666666666666,source,0.9375949
A051,0.715,source,-0.2418823
A051,2.734583333333333,source,-0.6612509
A051,6.124583333333334,source,-0.06661786
A052,0.0416666666666666,source,0.5465678
A052,1.3233333333333337,source,-0.32314909
A052,3.374166666666667,source,0.28532296
A052,6.38625,source,-0.7262602
A053,0.0416666666666666,source,0.61285675
A053,1.3629166666666668,source,0.6908248
A053,3.2616666666666667,source,-0.87289464
A053,6.204166666666667,source,-0.49189186
A054,0.0416666666666666,source,-0.10204983
A054,0.7041666666666666,source,1.0966705
A054,3.0345833333333334,source,0.9135628
A054,5.701250000000001,source,1.1728728
A055,0.0416666666666666,source,-0.11819313
A055,0.9683333333333332,source,0.6593112
A055,3.103333333333333,source,-1.0083954
A055,6.217083333333334,source,-1.7716202
A056,0.0416666666666666,source,1.1733193
A056,1.4004166666666666,source,-0.25787663
A056,2.9775,source,0.19984083
A056,6.16,source,-1.6880448
A057,0.0416666666666666,source,0.26597437
A057,1.0325,source,-1.5030736
A057,3.07625,source,-0.49841014
A057,6.0441666666666665,source,-1.6882595
A058,0.0416666666666666,source,1.3958939
A058,0.9566666666666668,source,-0.7525928
A058,2.7616666666666667,source,0.019965231
A058,5.978333333333333,source,-0.4705928
A059,0.0416666666666666,source,0.77775645
A059,1.2666666666666666,source,0.8466781
A059,3.3241666666666667,source,1.1726226
A059,6.330416666666667,source,1.4049748
A060,0.0416666666666666,source,-0.5542918
A060,1.03625,source,0.9303409
A060,3.945,source,-0.22979185
A060,5.99625,source,0.5148364
A061,0.0416666666666666,source,1.4514033
A061,1.465,source,0.64185774
A061,3.439583333333333,source,0.4928585
A061,6.1066666666666665,source,-0.5863995
A062,0.0416666666666666,source,0.6549794
A062,1.862083333333333,source,-0.16725098
A062,3.863333333333333,source,-0.45586523
A062,6.215833333333333,source,-1.405543
A063,0.0416666666666666,source,0.7391236
A063,0.9158333333333334,source,1.0042152
A063,2.91625,source,0.38045648
A063,5.87875,source,-0.8421556
A064,0.0416666666666666,source,0.59662765
A064,1.56875,source,0.76872313
A064,3.4579166666666663,source,-0.10413311
A064,6.50875,source,-1.27261
A065,0.0416666666666666,source,-1.3013191
A065,1.3462500000000002,source,-0.34596384
A065,4.43375,source,-1.372738
A065,7.809583333333333,source,-1.6371088
A066,0.0416666666666666,source,0.16229463
A066,0.9729166666666668,source,-0.57932127
A066,3.074583333333333,source,-0.7972933
A066,6.872083333333333,source,-1.6448519
A067,0.0416666666666666,source,0.57185596
A067,1.24625,source,-1.4705437
A067,3.049583333333333,source,-1.4817185
A067,6.007916666666667,source,-1.8485239
A068,0.0416666666666666,source,0.80332613
A068,1.2704166666666663,source,-0.2173003
A068,3.4575,source,1.2649376
A068,6.482916666666667,source,-0.48391524
A069,0.0416666666666666,source,-1.2999883
A069,1.04,source,-1.1146151
A069,3.3229166666666665,source,-0.5169879
A069,5.8425,source,-1.5753974
A070,0.0416666666666666,source,-0.021486543
A070,1.0104166666666667,source,0.08760651
A070,3.4133333333333336,source,-0.9004179
A070,6.216666666666666,source,-1.3462481
A071,0.0416666666666666,source,0.5504542
A071,1.288333333333333,source,0.67033637
A071,3.3316666666666666,source,-0.44938245
A071,6.38625,source,0.38129205
A072,0.0416666666666666,source,0.80151546
A072,1.4066666666666665,source,0.9833094
A072,3.480833333333333,source,-0.94120866
A072,6.453749999999999,source,-0.12980092
A073,0.0416666666666666,source,1.6641471
A073,2.7775,source,0.5787494
A073,2.7875,source,1.1674864
A073,5.838333333333334,source,1.0045222
A074,0.0416666666666666,source,1.5700668
A074,1.2220833333333332,source,0.36285383
A074,3.0425,source,-0.40120536
A074,6.13375,source,-0.7850784
A075,0.0416666666666666,source,1.1662244
A075,1.195,source,0.3566179
A075,2.9737500000000003,source,-1.3038448
A075,10.18875,source,-0.52204144
A076,0.0416666666666666,source,0.29063508
A076,1.1375,source,-0.8461591
A076,3.12,source,-1.1877341
A076,6.22,source,-0.86294127
A077,0.0416666666666666,source,0.15343806
A077,2.245,source,-0.1691623
A077,3.265,source,-0.06856383
A077,6.239583333333333,source,-0.21926013
A078,0.0416666666666666,source,-0.66697323
A078,1.0904166666666668,source,-0.16704877
A078,3.0125,source,-0.7749459
A078,5.836666666666667,source,-1.525055
A079,0.0416666666666666,source,-0.24314347
A079,1.0879166666666666,source,0.14074588
A079,3.083333333333333,source,-0.6750268
A079,8.100833333333332,source,-0.41618824
A080,0.0416666666666666,source,0.13513204
A080,1.2095833333333337,source,0.34741575
A080,3.0362500000000003,source,0.13813207
A080,6.07375,source,-0.5028607
A081,0.0416666666666666,source,0.29152164
A081,1.3079166666666666,source,-0.3328697
A081,3.33875,source,0.6178092
A081,6.43875,source,-0.052564196
A082,0.0416666666666666,source,0.115559615
A082,1.1654166666666663,source,0.8179186
A082,3.154583333333333,source,0.78679985
A082,7.09375,source,-0.55610883
A083,0.0416666666666666,source,1.8847612
A083,1.0479166666666666,source,0.47450107
A083,3.095833333333333,source,-0.012420634
A083,6.037916666666667,source,-0.00067001284
A084,0.0416666666666666,source,0.5596189
A084,1.1354166666666667,source,0.039227832
A084,3.832083333333333,source,-0.010087565
A084,6.771249999999999,source,-0.5624141
A085,0.0416666666666666,source,-0.1252114
A085,1.02125,source,1.5127361
A085,2.975,source,-0.033243746
A085,7.110416666666667,source,-0.43204036
A086,0.0416666666666666,source,0.91376305
A086,0.9779166666666668,source,0.1346468
A086,6.05375,source,-1.1936218
A086,7.064583333333334,source,-0.822028
A087,0.0416666666666666,source,-0.22287825
A087,1.2945833333333334,source,0.7967639
A087,3.033333333333333,source,-0.019071504
A087,6.008333333333333,source,0.7529033
A088,0.0416666666666666,source,1.7774689
A088,1.0104166666666667,source,1.7887604
A088,3.12125,source,1.260735
A088,6.247083333333333,source,1.5812349
A089,0.0416666666666666,source,1.1389959
A089,1.3391666666666666,source,1.0854765
A089,3.3058333333333336,source,0.1096256
A089,6.123333333333334,source,-0.07298435
A090,0.0416666666666666,source,-0.13273755
A090,0.9808333333333332,source,0.018733937
A090,3.9758333333333336,source,-0.8946171
A090,6.002916666666667,source,-0.8806435
A091,0.0416666666666666,source,0.7184439
A091,0.925,source,-0.12915733
A091,3.0683333333333334,source,-1.08462
A091,5.942083333333334,source,-0.9829909
A092,0.0416666666666666,source,0.111291625
A092,0.95125,source,-0.8559327
A092,2.97125,source,-0.9984027
A092,6.09,source,-0.7805013
A093,0.0416666666666666,source,0.14141104
A093,0.9204166666666668,source,1.419709
A093,2.9258333333333333,source,-0.29306543
A093,5.872916666666666,source,0.24513331
A094,0.0416666666666666,source,-0.8867754
A094,0.9575,source,0.016020637
A094,3.1754166666666666,source,-1.063689
A094,6.249583333333334,source,-1.0863725
A095,0.0416666666666666,source,1.2913746
A095,1.2379166666666668,source,0.22240189
A095,3.2816666666666667,source,-0.065032065
A095,6.199583333333333,source,-0.2537716
A096,0.0416666666666666,source,-0.34864032
A096,1.0204166666666663,source,0.07261784
A096,2.96625,source,-1.7583967
A096,5.985833333333333,source,-1.6250517
A097,0.0416666666666666,source,0.33575732
A097,1.0154166666666666,source,-0.3186384
A097,2.95125,source,0.70814824
A097,6.035416666666666,source,-1.1569712
A098,0.0416666666666666,source,0.65085256
A098,1.07375,source,-0.052534766
A098,3.285,source,1.5982602
A098,6.095416666666666,source,-0.897659
A099,0.0416666666666666,source,0.32463416
A099,1.1979166666666667,source,0.9679909
A099,3.27375,source,0.22578053
A099,5.979583333333333,source,1.5011876
A100,0.0416666666666666,source,0.29106325
A100,1.2975,source,1.765633
A100,3.1391666666666667,source,0.042482417
A100,6.116666666666667,source,0.076925665
A101,0.0416666666666666,source,-0.46022868
A101,1.2133333333333334,source,-0.83694685
A101,3.13375,source,-1.2875204
A101,6.259166666666666,source,-0.7894045
A102,0.0416666666666666,source,-0.32257593
A102,1.21375,source,0.9718402
A102,3.13625,source,-0.6108117
A102,6.267083333333333,source,-0.10694511
A103,0.0416666666666666,source,0.76894027
A103,1.1358333333333337,source,-0.7938343
A103,3.3433333333333333,source,-1.0002152
A103,6.238333333333333,source,-0.9437569
A104,0.0416666666666666,source,1.3679023
A104,0.9416666666666668,source,0.9882625
A104,3.0258333333333334,source,-0.47909507
A104,6.074166666666667,source,-1.31112
A105,0.0416666666666666,source,0.34450012
A105,0.94875,source,0.7076637
A105,2.8941666666666666,source,-1.1318758
A105,6.091666666666666,source,-0.1410696
A106,0.0416666666666666,source,0.8248895
A106,0.9433333333333334,source,-0.36700493
A106,2.7533333333333334,source,-0.32000408
A106,6.130416666666666,source,0.51996505
A107,0.0416666666666666,source,-0.7441056
A107,1.0925,source,-1.6472313
A107,2.9770833333333333,source,-0.87584704
A107,6.08125,source,-0.95459175
A108,0.0416666666666666,source,-0.8886611
A108,1.1504166666666666,source,-0.13556795
A108,2.873333333333333,source,-0.08436014
A108,6.338333333333334,source,-1.3012402
A109,0.0416666666666666,source,-0.33428168
A109,1.0270833333333331,source,-0.9536665
A109,2.9654166666666666,source,0.34435305
A109,6.244583333333334,source,-1.3728429
A010,0.0416666666666666,destination,2.3516784
A010,0.9125,destination,1.1957428
A010,3.37,destination,-1.4274018
A010,6.054583333333333,destination,-0.24777766
A011,0.0416666666666666,destination,1.0160496
A011,1.02375,destination,0.04277535
A011,3.0229166666666667,destination,-0.29197747
A011,6.202083333333333,destination,-0.77769005
A012,0.0416666666666666,destination,0.626727
A012,1.0666666666666669,destination,-1.3327019
A012,6.930416666666667,destination,-0.06667291
A012,6.952916666666667,destination,-1.3417982
A013,0.0416666666666666,destination,0.2334942
A013,1.0320833333333332,destination,-0.039042402
A013,3.3191666666666664,destination,0.8063575
A013,6.130416666666666,destination,0.10192233
A014,0.0416666666666666,destination,0.6964946
A014,1.0691666666666666,destination,-0.5055915
A014,2.94,destination,0.16545391
A014,6.202916666666667,destination,-0.31504494
A015,0.0416666666666666,destination,0.92655146
A015,0.9870833333333334,destination,1.603116
