composite_ID,theta_what,theta_where,theta_when
A010_1,2.8495245,1.7825152,-0.17765257
A010_2,0.21910101,1.2833042,0.93832767
A010_3,-0.20786455,0.27812618,-0.9739057
A010_4,1.4082963,0.18833622,1.871051
A011_1,1.0459343,0.35434216,-0.87433934
A011_2,0.5411904,0.5197361,-0.058419585
A011_3,-0.51790774,-0.29288238,-0.8499943
A011_4,-0.03306195,-0.43296236,-1.3117768
A012_1,1.0967582,1.2288259,0.54212606
A012_2,-0.36091226,-0.8322844,0.98654366
A012_3,2.2870164,0.54551035,-0.14200869
A012_4,-0.62503695,-0.05091673,-0.22229785
A013_1,-0.5019602,-0.06935392,0.6873682
A013_2,-0.14593226,0.11031294,-1.474323
A013_3,-0.08115509,-0.015666157,0.9125496
A013_4,-0.4656096,-0.51237524,-0.61906606
A014_1,1.1409624,1.1938088,0.1954307
A014_2,2.1043804,1.0605385,0.6957203
A014_3,0.79710543,-0.13487206,-0.86335623
A014_4,-0.6996891,-0.3143708,-1.5872245
A015_1,1.4257106,1.871848,1.7388352
A015_2,3.0692377,1.3540065,-0.6865287
A015_3,2.9706106,1.5743238,0.65949905
A015_4,-0.02934593,0.88046324,0.014089435
A016_1,2.3398628,1.0574088,-1.4402869
A016_2,-0.67632926,1.1180912,-1.2882239
A016_3,0.5615947,0.31218228,0.8607484
A016_4,-1.2509964,-0.9419583,-2.4182909
A017_1,-1.3039442,-0.35833478,-0.85193014
A017_2,0.854301,0.4098202,0.21497887
A017_3,0.34112677,-0.18396404,1.6746666
A017_4,0.16414243,0.80646557,2.2796025
A018_1,0.4271234,0.8446052,0.23999432
A018_2,-0.54942524,0.35560948,0.38741595
A018_3,-1.1313053,-0.21481699,0.092705235
A018_4,0.675922,-0.30345953,0.8048816
A019_1,-0.5048446,-0.25665104,0.58958745
A019_2,-0.6859969,-1.4401103,-0.92873764
A019_3,-0.7494449,-1.5812134,-1.0716373
A019_4,-0.2041359,-2.0940325,1.5763583
A020_1,0.6839242,0.026495129,-1.6694509
A020_2,0.19881293,-0.4463728,0.6332385
A020_3,0.124854565,-0.9093222,0.43723774
A020_4,-1.8937365,-1.9544748,-1.4777763
A021_1,1.138064,1.0475988,1.6070633
A021_2,1.2837107,0.33709085,-0.6970724
A021_3,0.5994273,0.57939214,-0.9908623
A021_4,2.1473718,0.6825515,0.33225334
A022_1,0.87827647,-0.9660846,-1.473691
A022_2,-0.3750848,0.7667022,-0.63090724
A022_3,-0.6210991,0.11602895,-1.7337799
A022_4,-0.1070101,-0.43532908,1.5511892
A023_1,0.12642181,0.5681441,0.17674807
A023_2,-0.39188105,-1.0816084,-1.4913348
A023_3,1.1006073,-0.2495674,0.46197927
A023_4,-0.36299026,-0.09500995,-0.099629104
A024_1,0.4155501,0.13066724,0.75746256
A024_2,-0.045083024,-0.2182319,0.9538285
A024_3,0.61174965,0.27710629,-0.6989247
A024_4,-0.8740546,-1.1816889,0.021747738
A025_1,0.9619363,1.0210884,1.1107309
A025_2,3.2355838,1.6360409,-0.02926585
A025_3,-0.41828287,-0.4321879,-0.26488796
A025_4,-1.3438815,-0.8731921,1.0977626
A026_1,1.1484417,1.6231289,0.35740104
A026_2,0.29836762,0.16597158,-0.39212132
A026_3,0.5301962,1.0457319,-1.2708919
A026_4,-0.050407227,-0.34197646,0.2920667
A027_1,0.24607074,1.4078006,0.67755985
A027_2,0.8358134,-0.26698202,-1.2957095
A027_3,-0.77509683,-0.18420398,0.07492894
A027_4,-0.7473746,-0.24465615,-0.38065973
A028_1,1.9784641,1.7221895,-0.22608823
A028_2,0.20417708,-0.43131578,0.59378934
A028_3,-0.68490416,0.32524812,-1.3609159
A028_4,-1.4094522,-1.0402749,-0.9690596
A029_1,2.0143404,1.925294,-1.37223
A029_2,1.2032137,-0.48798567,-1.5805124
A029_3,1.1944488,2.0353284,0.11481446
A029_4,0.40829158,1.4807458,1.1821862
A030_1,0.79424596,-0.14667314,-1.1402566
A030_2,0.44205505,1.0972707,-0.4261515
A030_3,-0.63093513,0.17185539,0.13226366
A030_4,0.66448706,0.49697822,-1.2282906
A031_1,2.6667287,2.1524055,0.12300497
A031_2,0.11545077,-0.021073148,0.08979422
A031_3,0.05749122,0.9137788,0.57868135
A031_4,-0.53367615,-0.7359735,-0.5184224
A032_1,0.717028,1.0441829,1.1288489
A032_2,0.033122495,-0.17543735,0.66381836
A032_3,1.1361644,0.1452353,0.29014325
A032_4,1.4961241,1.5451232,0.647256
A033_1,0.7324871,0.38115287,0.30071205
A033_2,1.053833,0.35369742,0.2656446
A033_3,1.0989009,0.9291872,-0.63308567
A033_4,0.92701405,-1.0287681,1.6320012
A034_1,1.1478217,1.5271558,0.90604496
A034_2,0.38348988,1.2506855,0.46262643
A034_3,-0.016765982,0.09487623,1.6148285
A034_4,-0.51218176,0.061613694,-1.854882
A035_1,-0.18783784,-0.09766142,-0.23702022
A035_2,1.1757679,0.7227323,-0.36792475
A035_3,-0.5536363,-0.4372859,-0.7661216
A035_4,-0.835791,-0.64561677,-1.5212169
A036_1,1.332992,0.8122661,0.086957574
A036_2,-0.44961703,0.12347311,0.8642175
A036_3,-0.19414504,0.098612726,1.2623973
A036_4,0.2076543,-1.3955629,-1.5167558
A037_1,1.7465817,1.1593692,0.949005
A037_2,1.5737433,0.79206467,0.6468738
A037_3,-0.14643928,0.11866489,-0.35152897
A037_4,-0.20466933,-0.4597231,-0.36623418
A038_1,1.1379485,1.4190161,2.342451
A038_2,-0.38544658,-0.15336147,-1.2179812
A038_3,0.9902118,1.770944,-1.0338619
A038_4,0.017764084,0.5455453,1.781066
A039_1,2.7536566,2.558724,1.9555998
A039_2,0.6637576,1.8370912,-0.4785512
A039_3,-0.42993444,0.9577352,0.2768702
A039_4,0.77186465,1.0778656,0.07746661
A040_1,-0.3483343,-0.749122,-0.44111657
A040_2,1.2668161,-0.5312669,0.47990847
A040_3,-1.7308351,-1.6315343,1.4004047
A040_4,-2.0088344,-1.3779203,-0.8318901
A041_1,1.0519564,1.2806756,1.014755
A041_2,-0.89921147,-1.265441,-0.6049712
A041_3,0.34561834,0.50099325,-0.69597197
A041_4,0.47991753,0.38967735,-1.2789805
A042_1,-0.23226798,-1.2989585,0.23568591
A042_2,-0.6764188,-0.9318676,0.9903183
A042_3,0.41297585,-0.31243291,-1.6329386
A042_4,-1.060709,-1.0150552,-0.8754551
A043_1,0.5270698,1.2342585,-0.78949654
A043_2,0.37927657,0.369325,1.0392958
A043_3,0.8748715,0.30332214,0.07523809
A043_4,-0.12630613,-0.30678234,-0.13373902
A044_1,0.11931978,-0.73938763,0.27017105
A044_2,-0.039003193,-0.8737124,-0.07126051
A044_3,-1.1271453,-1.0859921,-1.3023854
A044_4,-0.98223126,-2.035268,1.5881083
A045_1,-0.79529893,-0.59602195,-0.32118118
A045_2,-0.6524082,-1.2729188,-1.8177891
A045_3,-1.0008355,-1.359095,0.26758766
A045_4,-1.9204704,-1.5221337,-1.3421427
A046_1,-0.74961597,-0.70371497,1.5548716
A046_2,-1.7768368,-0.88969344,0.21812204
A046_3,-1.9663489,-1.2980633,-0.06679952
A046_4,-1.1430976,-0.23621434,-0.05066189
A047_1,0.28377923,0.07504839,-1.0458052
A047_2,-0.43273208,-0.56336576,0.9660454
A047_3,-1.4137906,-1.0528196,0.20828038
A047_4,-1.2736783,-1.935511,2.6387465
A048_1,2.046809,0.60838926,1.0398808
A048_2,-0.102730244,0.31294972,0.49404255
A048_3,1.2428203,-0.16083549,-0.5391879
A048_4,-0.41433746,0.031205073,1.1811554
A049_1,3.0403953,2.0139418,1.3697528
A049_2,0.081395224,0.13281882,-0.28373107
A049_3,0.70681286,-0.056878597,-0.27510086
A049_4,-0.6787857,0.27227408,1.3043596
A050_1,-0.57845104,-0.78678703,-1.8107281
A050_2,-0.6776924,-0.31011888,0.5756476
A050_3,-0.3239175,-0.35521504,-1.0529441
A050_4,-0.48715395,-1.0772818,-0.0450024
A051_1,1.041391,1.6261666,-1.6883023
A051_2,-0.52874124,-0.16066734,0.014861852
A051_3,-0.8176612,-0.2890098,-0.2764141
A051_4,0.13951796,-0.8638576,-2.1118236
A052_1,1.8573551,-0.35828274,0.90450335
A052_2,1.1501558,-0.07249533,-0.13308212
A052_3,0.32017773,-0.5225982,-0.3612848
A052_4,-0.5592403,-0.63226074,-0.46229035
A053_1,1.3423723,1.2844814,0.11079353
A053_2,0.6697047,2.0813632,-0.677757
A053_3,-0.5973952,-0.3928151,-0.28961074
A053_4,0.5542387,-0.13262434,2.3285909
A054_1,0.40082943,0.5600549,0.64749724
A054_2,0.061698496,1.2240267,1.1388643
A054_3,2.3994637,0.25207675,0.23990488
A054_4,0.367707,0.7968907,-0.15412039
A055_1,-0.25977668,0.6365883,-0.79134464
A055_2,0.27098116,1.9419086,0.14435235
A055_3,0.40776598,-0.32275516,0.41999447
A055_4,-0.31431788,-1.0369473,-2.200275
A056_1,1.1720088,-0.021587789,-1.3459609
A056_2,0.15596366,0.5970689,0.26675588
A056_3,-0.6204517,-0.5315263,1.1356037
A056_4,-0.7323073,-0.97336733,-0.53746367
A057_1,1.023826,0.20989877,-0.08667353
A057_2,0.5389139,-0.99481916,0.1640301
A057_3,0.14511971,-0.7074677,-0.09534079
A057_4,-0.4786676,-0.9100708,-0.19456768
A058_1,0.07391393,1.400895,1.1102797
A058_2,-0.697528,-1.0485694,0.23424998
A058_3,-1.2829115,0.7000328,0.9899018
A058_4,-0.55715656,-1.2446843,1.2310824
A059_1,1.1420809,0.89457256,0.6187948
A059_2,1.0119654,0.40554827,1.1837338
A059_3,1.1656518,1.5161453,0.7785523
A059_4,0.62250775,-0.04035777,-0.3088421
A060_1,-0.22650719,0.66181314,-1.3155241
A060_2,0.4809326,1.3888314,-0.1535533
A060_3,-0.4725994,0.15643936,-0.032684147
A060_4,1.0427784,0.30924398,0.9788728
A061_1,2.3442874,2.588031,3.8447251
A061_2,1.233524,0.8732451,0.35423467
A061_3,-0.14096707,0.99357945,-1.5631205
A061_4,0.4611628,0.23092428,0.008879006
A062_1,1.5959945,1.825913,1.2950801
A062_2,0.74262905,-0.09313707,0.07300705
A062_3,-0.3143865,0.08148956,-0.51125085
A062_4,-0.3356112,-1.3092536,-0.7436956
A063_1,0.5493032,0.7916343,-0.42020166
A063_2,0.61191547,0.95876235,0.057294816
A063_3,0.24433644,0.2802336,0.93957365
A063_4,0.13872528,-0.9071003,-0.9750476
A064_1,1.9356189,0.6627424,1.2421527
A064_2,0.34213445,1.165315,-0.82706654
A064_3,0.7569932,-0.3672156,1.0335546
A064_4,-0.35031673,-0.61255026,-1.0332032
A065_1,-1.9780934,-2.16341,-1.2321833
A065_2,-1.8879485,-0.39986128,-0.0515353
A065_3,-1.8023599,-1.60074,-0.10725069
A065_4,-3.0337515,-1.0814221,-2.199351
A066_1,0.97834384,0.11202854,1.1050596
A066_2,-0.19855887,-0.9675293,-0.48001176
A066_3,-0.62886995,-1.3826702,0.19207132
A066_4,-0.2672553,-1.0125599,-2.1919174
A067_1,-0.10672778,0.69119376,0.91595894
A067_2,-0.7600713,-1.534143,0.30869988
A067_3,-1.2209978,-1.695598,-0.868356
A067_4,-1.0872278,-1.4881512,-0.8849031
A068_1,1.5416224,2.1732867,1.10346
A068_2,0.21658492,-0.9517231,0.7063807
A068_3,0.38155702,0.478627,-0.6363444
A068_4,-0.3118221,0.058003783,0.6352018
A069_1,-0.15469807,-0.8893989,-0.27310088
A069_2,-1.9416001,-2.2953248,-0.53594947
A069_3,-0.44794863,-0.62961805,1.0711788
A069_4,-1.2311503,-2.0459962,-0.13988
A070_1,1.799753,0.18101504,-0.11830109
A070_2,1.5305908,-0.38829654,0.96011215
A070_3,0.111368,-0.6545274,-0.14449853
A070_4,-0.67360896,-1.4040349,1.3700595
A071_1,0.7387622,1.1394198,0.4117638
A071_2,0.5382586,0.5778234,1.0857494
A071_3,-1.3526621,-0.9164891,-0.3062603
A071_4,0.075789735,0.15093814,-0.028487206
A072_1,0.75499666,1.739566,-1.1278734
A072_2,0.42614904,0.34603143,1.2961332
A072_3,-0.43276745,-0.41339195,-0.76609707
A072_4,-0.062096268,-0.5515506,0.24443215
A073_1,0.5202863,1.2195945,-1.0564022
A073_2,-1.2012441,0.013522953,0.26339915
A073_3,-0.13591054,-0.67852896,0.05969277
A073_4,1.6254737,0.9796768,0.97179127
A074_1,0.37155366,1.090521,1.9430063
A074_2,-1.6421561,-0.038968593,-0.76029664
A074_3,-0.9139577,-0.23851094,-1.4446683
A074_4,-1.5365437,-1.0898275,-0.18924654
A075_1,0.11663741,1.1956419,-0.64051765
A075_2,-0.7731385,1.0715714,-1.0821738
A075_3,-1.3670206,-1.8319539,1.3610661
A075_4,-0.5143715,-0.68453777,-0.8105487
A076_1,-1.0752667,-0.19223292,-1.294316
A076_2,0.070999414,-0.5732174,-1.3484939
A076_3,-0.88688034,-0.43709287,-1.237004
A076_4,-2.140476,-1.9890585,1.7209938
A077_1,1.2959877,0.8003557,1.5771065
A077_2,-1.2753135,-0.5395257,-0.47793937
A077_3,0.07986976,0.1518695,-0.42909724
A077_4,0.846462,0.04212922,-0.4487583
A078_1,0.1586144,0.44903633,-0.9239575
A078_2,-0.013857767,0.89398086,-0.5128455
A078_3,-0.62940764,-0.9439394,-0.54698735
A078_4,-0.21905103,-1.7844479,-0.0734005
A079_1,-0.17249557,1.3091109,-0.117149234
A079_2,-0.7049539,-0.6575438,-0.17952174
A079_3,-1.362579,-0.76469785,0.49475133
A079_4,-0.7027999,-0.8371746,1.2593203
A080_1,0.76161516,0.27415147,0.46743014
A080_2,0.6206685,0.23962815,0.3782092
A080_3,0.047872722,0.5051993,0.24432006
A080_4,-0.38689852,-1.0252128,-1.6023493
A081_1,1.4227011,0.386622,0.36609143
A081_2,-0.11618614,0.009164602,0.015115969
A081_3,0.57945955,1.4669673,0.12024635
A081_4,0.7930925,0.3600972,-1.347389
A082_1,0.9328251,0.73493713,0.8158797
A082_2,2.5857215,0.9922631,1.3391608
A082_3,0.20728257,0.469038,-0.91646826
A082_4,0.56079304,0.08232457,-2.4016082
A083_1,1.8399825,1.4440775,0.8681568
A083_2,-0.16564429,0.8672297,-0.10031304
A083_3,-0.13697514,0.88355005,-0.107514024
A083_4,-0.46616986,0.21264887,0.9867375
A084_1,0.4807053,0.3872661,1.8661048
A084_2,-0.7193005,-0.79294294,-0.1641193
A084_3,-0.13927744,1.0147405,0.048163235
A084_4,-0.04114674,0.022365049,1.1123692
A085_1,-0.13054855,0.2178391,0.06705779
A085_2,0.9672473,1.0107661,-0.46931627
A085_3,-0.7084911,0.1166961,-1.0843661
A085_4,-0.95876193,0.4333349,1.1668379
A086_1,1.271515,1.3588759,1.0047618
A086_2,-0.28911102,-0.3080349,-1.5351425
A086_3,-1.3221629,-0.6760331,0.8909112
A086_4,-1.507539,-1.5051757,0.375632
A087_1,0.8442136,0.86361945,1.1308548
A087_2,0.30789483,1.6372463,0.03888148
A087_3,-0.14517333,0.024548411,-0.77279747
A087_4,-0.102443576,0.34177315,0.41131288
A088_1,0.68433183,2.3167355,-0.2428985
A088_2,2.7557518,1.8791363,-0.66059065
A088_3,0.12676762,0.58536327,-1.4165277
A088_4,0.16464782,1.5864966,1.6650435
A089_1,0.8078197,1.6023842,0.7364516
A089_2,0.72248566,0.8172744,1.0746572
A089_3,0.28442654,0.6717867,-0.8361807
A089_4,0.4475206,0.555042,0.015222043
A090_1,0.66550887,0.18180594,1.7786958
A090_2,-1.6414227,0.12388109,-1.4529107
A090_3,-2.383378,-0.74402153,-0.121162295
A090_4,-0.91827035,-1.1831776,-1.3745949
A091_1,-0.4360702,1.1672404,0.8390659
A091_2,-0.18568097,0.20803699,0.8064743
A091_3,-1.5939965,-0.35452706,-0.0102825165
A091_4,-0.46230045,-0.9634732,1.7330554
A092_1,-0.5627572,-0.0022106022,-0.44035617
A092_2,-0.19135952,-1.0598465,-0.5425752
A092_3,-0.8530009,0.13335863,-0.75691986
A092_4,-1.7983118,-1.3791746,-2.0749223
A093_1,0.089600235,0.21078426,-1.2741108
A093_2,0.6145582,0.27758065,1.1955266
A093_3,-0.07367027,0.63913536,2.5283484
A093_4,0.35448438,0.4802683,0.6858732
A094_1,-0.18309258,-0.953182,1.2767186
A094_2,-0.3280189,0.521601,0.09729788
A094_3,-1.6720117,-0.6864022,-0.47417846
A094_4,-1.3540277,-1.4554489,1.0047024
A095_1,1.0873888,1.6588396,0.9009024
A095_2,-0.46548972,-0.9494278,-0.14953977
A095_3,-0.30057147,-0.7654387,-1.0484929
A095_4,0.7672782,-1.9066852,-0.88822234
A096_1,-0.3248322,-0.30937952,-0.72915506
A096_2,-1.2925794,-0.25354266,-1.4686618
A096_3,-1.7075374,-2.1841712,-0.22363478
A096_4,-1.5242242,-1.5901734,-2.202876
A097_1,1.8411877,0.101035684,-0.48020798
A097_2,-0.2735227,-0.1542688,0.36855528
A097_3,-0.14616925,1.398236,-0.42266384
A097_4,-0.38724306,0.09293376,1.6407696
A098_1,0.086295724,1.2332599,0.25352788
A098_2,0.79269034,0.124569714,1.4832029
A098_3,1.8172361,1.8836641,0.6255039
A098_4,-0.22831552,-0.25345454,-1.6407208
A099_1,1.098286,0.98465896,-1.4284468
A099_2,0.5036725,1.6855251,0.15944433
A099_3,-0.96683764,-0.1633312,-1.0471623
A099_4,0.097553015,1.700053,0.25345343
A100_1,-0.8105178,0.071672395,1.3023868
A100_2,0.7197753,0.92748773,-0.07590309
A100_3,0.46233496,-0.055530354,-0.56975305
A100_4,-0.06722808,-0.30008048,-1.5808951
A101_1,-1.3086234,-0.092041075,0.46786234
A101_2,-1.2809393,-0.5277873,0.36276695
A101_3,-1.8781223,-2.0716639,1.3054268
A101_4,-1.6442014,-0.43890226,-0.5672326
A102_1,-0.5762197,0.5380321,-1.063424
A102_2,1.3714912,1.4003558,-0.3641736
A102_3,-0.8096236,-0.11243695,-0.022620916
A102_4,0.10194793,-0.18532655,1.423525
A103_1,1.7303075,2.0061154,-1.0126519
A103_2,-0.99133146,-1.3020405,-0.42083523
A103_3,-2.3483527,-1.0032907,0.82858
A103_4,-0.89320856,-1.2342285,-0.9790987
A104_1,1.9258907,1.1866283,1.551251
A104_2,-1.2385492,0.25088784,1.6497785
A104_3,0.46352357,0.79617465,-1.3430338
A104_4,-1.6218024,-2.003239,-0.061428457
A105_1,1.6877278,0.06683385,0.282902
A105_2,0.0470621,0.78028667,0.3221656
A105_3,-0.32466403,-0.23026451,-0.17929581
A105_4,0.49442884,-0.18998921,-0.16354936
A106_1,2.1079547,1.1013302,0.1336959
A106_2,0.24444717,0.22918367,1.0675732
A106_3,-0.28046107,0.33702385,2.0272431
A106_4,1.9476776,0.32212293,-0.37170714
A107_1,-0.7924621,-0.43790054,0.26772535
A107_2,-1.7505757,-1.2888134,0.081852734
A107_3,-1.0465363,-1.1629169,0.43437678
A107_4,-1.0003569,-0.9548427,0.0019959211
A108_1,-1.3257308,0.059862196,-0.2742278
A108_2,-0.8017765,-1.1226027,-0.056787387
A108_3,-1.2139935,0.17702931,-1.0336658
A108_4,-1.0050039,-0.6276696,-2.0776107
A109_1,0.032928675,-0.06944235,-1.5166597
A109_2,-1.9036578,-0.7778673,1.6238284
A109_3,-0.69994915,-0.21963817,-0.43632743
A109_4,-1.1848431,-0.5637801,-0.53921753
