predictor_value,partial_residual
-0.125,0.013718479532672936
-0.125,0.044724873114246354
-0.125,0.0785121579498195
-0.125,0.12096117573449586
0.0,0.11568114769622395
0.0,0.04682000397906605
0.0,-0.0910159441438122
0.0,-0.031243460460930073
0.25,-0.08103953927429779
0.25,-0.16412419844855847
0.25,0.16681999630440353
0.25,0.20926901408907989
-0.25,0.02293648722268176
-0.25,-0.07469074659578474
-0.25,-0.06378871016641748
-0.25,0.11007482627229874
-0.125,0.027591093951111503
-0.125,0.11891055898930239
-0.125,0.11805091202846399
-0.125,-0.11933351420604263
-0.125,-0.0026445130616593354
-0.125,0.04568534641811985
-0.125,0.09957698840589904
-0.125,0.15624952164767827
0.25,-0.0020910821702195192
0.25,-0.10249920724268606
0.25,0.08002606214513293
0.25,-0.020382062927333515
0.0,-0.11453467070608825
0.0,0.15086179431340518
0.0,0.053234560494938465
0.0,-0.07005881298373384
0.25,0.08390169098119689
0.25,-0.19091055830372133
0.25,-0.1311380746208392
0.25,0.06282981897008284
0.0,0.09945303846431808
0.0,-0.2606841734751255
0.0,0.06747913002383643
0.0,0.08394294896120391
-0.25,0.02388394389867903
-0.25,-0.07652418117378752
-0.25,0.13754806956934035
-0.25,-0.24857434121741212
-0.125,0.03374888668972755
-0.125,0.056093547322197866
-0.125,0.09576167385287418
-0.125,0.01823879718661339
-0.25,-0.055066662934275264
-0.25,-0.13815132210853603
-0.25,-0.11580666147606573
-0.25,0.0781612321148563
-0.375,0.06368306192597113
-0.375,-0.17092047305453542
-0.375,0.12569584908911755
-0.375,0.08560079547326856
0.125,-0.07117213542942616
0.125,-0.02872311764474991
0.125,0.1451404187939663
0.125,0.06483665087370558
-0.125,0.006962526834564688
-0.125,0.19814952917148668
-0.125,0.13238833589543178
-0.125,-0.43989988249397804
-0.125,-0.037935008703718
-0.125,-0.12968140082708154
-0.125,0.07572911696694343
-0.125,0.10673551054851663
-0.375,0.01415935365490502
-0.375,0.210908138499827
-0.375,-0.03791891193778245
-0.375,-0.281184179867392
0.5,0.09527760130722986
0.5,0.11762226193970028
0.5,-0.22829143454264042
0.5,0.08842924475321857
0.0,-0.34254289428523566
0.0,-0.01437959078627371
0.0,0.17958830280464833
0.0,0.23069905353842746
0.25,0.005249579264440759
0.25,0.20787920580446567
0.25,-0.1754623137282864
0.25,-0.15033676184181605
0.25,-0.025422291087862585
0.25,0.04857370805212253
0.25,0.09102272583679889
0.25,0.13347174362147501
0.0,-0.13662090783331626
0.0,-0.02274331862006862
0.0,0.02836743211371051
0.0,0.21367359275552966
0.0,0.027184434334320495
0.0,0.08107607632209968
0.0,0.10063984570057016
0.0,0.020336077780309325
0.25,0.02248939799559086
0.25,-0.06059526117866992
0.25,-0.04691233349530249
0.25,0.004198417238476645
-0.25,0.12469839246669083
-0.25,0.02429026739422418
-0.25,0.04663492802669449
-0.25,-0.18796860695381207
0.0,-0.03972919779290085
0.0,-0.005941912957327489
0.0,0.06772696195150862
0.0,0.05607087420581913
-0.25,0.0803002033640922
-0.25,0.1113065969456654
-0.25,-0.10319258088263523
-0.25,-0.07218618730106204
-0.375,0.07512568612907396
-0.375,0.11479381265975026
-0.375,0.014385687587283607
-0.375,-0.10024595294228593
0.0,0.07796281156770601
0.0,0.10030747220017655
0.0,-0.12007254732322714
0.0,0.05379098911548896
-0.125,-0.05216067388969701
-0.125,0.13314548675212204
-0.125,-0.25297692403463035
-0.125,-0.05622813918970824
0.0,0.09469026723529583
0.0,-0.0057178578371708255
0.0,0.03673115994750542
0.0,-0.07233869807406401
-0.25,-0.2514091242836523
-0.25,0.1995069649202466
-0.25,0.11642230574598582
-0.25,-0.12406207092962358
-0.375,-0.06398039499829093
-0.375,-0.001427020061408752
-0.375,0.04102199772326749
-0.375,0.08347101550794374
0.125,0.23501851795335135
0.125,-0.16254651703650394
0.125,-0.10865487504872476
0.125,-0.20040126717208842
-0.25,0.1066498652846584
-0.25,0.006241740212191752
-0.25,0.05147164925086794
-0.25,-0.16580841983143263
0.125,-0.22018922075406125
0.125,-0.02622132716313921
0.125,-0.0038766665306688946
0.125,0.058676708406213286
0.125,0.13024030943529527
0.125,-0.12446758269741712
0.125,0.06083857794440204
0.125,-0.34816908124855617
0.0,0.12132657737127983
0.0,-0.2734575663645754
0.0,0.054705737134386534
0.0,0.10581648786816567
-0.25,0.06255134102535369
-0.25,-0.03507589279311291
-0.25,0.11590239523939742
-0.25,0.03559862731913659
-0.125,-0.15495700243273078
-0.125,-0.25536512750519746
-0.125,-0.04995460971117236
-0.125,0.12390892672754386
0.0,0.21135706046789193
0.0,-0.03190820746171752
0.0,-0.1437589567372871
0.0,-0.2299435663526509
-0.25,0.03877956931042575
-0.25,-0.06750939745714386
-0.25,0.08346889057536637
-0.25,0.13736053256314545
0.25,0.035990001897743436
0.25,0.09854337683462562
0.25,-0.16482624824718978
0.25,0.1834414124039782
0.0,-0.07150023426836627
0.0,-0.029051216483690023
0.0,0.14759321120902624
0.0,0.05584681908566247
-0.625,0.03690291717566708
-0.625,-0.06628609915079973
-0.625,0.0989157043388136
-0.625,0.15558823758059281
0.5,-0.05543256604813361
0.5,0.1184309703905826
0.5,-0.0846255832346152
0.5,0.07191448730589513
0.0,0.03231750094581631
0.0,-0.06809062412665035
0.0,-0.016979873392871214
0.0,0.15966455429984505
0.0,-0.048975584072729283
0.0,-0.009307457542053088
0.0,0.187441327302869
0.0,-0.053043049372740514
0.0,-0.004001948810419265
0.0,0.03844706897425709
0.0,0.08955781970803622
0.0,0.13200683749271247
-0.125,-0.13529860579196215
-0.125,0.16131771635169104
-0.125,-0.04173883727350667
-0.125,-0.028055909590139348
-0.375,0.09003272384653722
-0.375,0.0010672229771735036
-0.375,-0.09934090209529305
-0.375,0.09462699149562899
0.125,0.08482286339042419
0.125,0.004519095470163468
0.125,-0.09588902960230308
0.125,0.08075539809041296
0.125,0.11064660021283731
0.125,-0.19293173917338982
0.125,0.15533592147777806
0.125,0.023380815050002533
0.25,0.05777989363764941
0.25,-0.03396649848571436
0.25,0.12845441374989902
0.25,0.05093153708363813
-0.625,-0.09647452170464986
-0.625,-0.1854400225740136
-0.625,-0.02023821908440037
-0.625,-0.11198461120776403
0.125,0.18835180066031285
0.125,-0.05769435852329665
0.125,-0.012464449484620357
0.125,-0.2557297174142299
-0.25,0.07568919698806113
-0.25,-0.02471892808440552
-0.25,0.0319536051573736
-0.25,0.06017910748494686
0.0,0.09057860729494882
0.0,-0.0011677848284148418
0.0,0.041281232956261404
0.0,-0.05912689211620514
0.0,0.14054827607745202
0.0,0.04014015100498536
0.0,-0.051606241118378304
0.0,-0.15201436619084496
0.0,0.07054820013789431
0.0,0.11299721792257056
0.0,-0.11016369285483307
0.0,0.052257219380780096
0.125,-0.07117213542942616
0.125,0.12557664941549593
0.125,0.002283275936823402
0.125,0.053394026670602536
-0.125,0.19957664025394442
-0.125,-0.19798839473591098
-0.125,-0.14687764400213163
-0.125,0.02976678369058441
0.25,0.11992694507898656
0.25,-0.11467658990152
0.25,-0.0836701963199467
0.25,0.11029769727097523
0.0,-0.07641305521656727
0.0,-0.02530230448278814
0.0,-0.13437216250435768
0.0,0.05093399813746147
-0.375,-0.13333150937804952
-0.375,0.06095544339997523
-0.375,-0.01656743326628544
-0.375,0.008558118620185034
-0.375,-0.16786453276459637
-0.375,0.20328837629277727
-0.375,-0.06008124878903802
-0.375,-0.3033465167186475
0.0,0.029240264304494112
0.0,0.06302754914006736
0.0,0.1141382998738466
0.0,0.013730174801379946
0.125,0.002130891999596239
0.125,0.04457990978427249
0.125,-0.05582821528819406
0.125,-0.024821821706620752
0.0,-0.04192372058236271
0.0,-0.12222748850262355
0.0,0.002765600682578029
0.0,-0.04599118588237394
0.5,-0.05088249303937774
0.5,0.00022825769440139483
0.5,0.17687268538711767
0.5,-0.05773084959338891
-0.25,0.11780584127234377
-0.25,-0.2367695881590997
-0.25,0.051185001035450255
-0.25,0.0936340188201266
0.125,0.014822787450866601
0.125,0.0600526964895429
0.125,0.005734127416590826
0.125,0.14216984080489534
0.375,0.10756529819553244
0.375,0.015818906072168775
0.375,-0.06448486184809184
0.375,-0.03347846826651864
-0.375,0.009396582425882776
-0.375,-0.1111158997987897
-0.375,0.07419026084302933
-0.375,-0.003332615823231228
0.25,0.07246121650697031
0.25,0.12635285849474936
0.25,-0.09680805228265414
0.25,-0.03425467734577208
0.0,0.21135706046789193
0.0,-0.1834270832679633
0.0,-0.13231633253418418
0.0,-0.08986731474950793
0.0,0.09843163179316938
0.0,0.00668523966980572
0.0,-0.23658002825980373
0.0,0.22577868514719812
0.125,-0.06786918393996147
0.125,0.1087752437527548
0.125,0.005586227426288091
0.125,0.06813960236317027
0.125,0.061776152959322574
0.125,-0.18427000622428694
0.125,0.15533592147777806
0.125,0.06358952935441428
-0.5,0.12485261837350513
-0.5,-0.08964655945479562
-0.5,-0.34157356033350794
-0.5,-0.010629365580546073
0.375,0.008880629592845675
0.375,-0.20561854823545497
0.375,-0.020312387593635812
0.375,0.1161233257946686
0.0,-0.0022349167845395757
0.0,0.16296688670507364
0.0,0.06255876163260699
0.0,-0.1921491305001053
0.0,-0.00025303680951738183
0.0,-0.24351830473912683
0.0,0.22750214161697802
0.0,-0.015763126312631437
0.0,0.004745146439551706
0.0,-0.04989248182050299
0.0,-0.053213960848238595
0.0,0.035005553748849505
-0.125,0.12143689160074858
-0.125,-0.27612814338910674
-0.125,0.06347778431295817
-0.125,0.1288120505038403
0.5,0.026095496395395226
0.5,-0.3284799330360485
0.5,-0.1660590208004352
0.5,0.0507941211966927
0.375,0.07527969352180423
0.375,-0.18808993156001105
0.375,0.10852639058364204
0.375,0.15097540836831827
-0.25,-0.06688129765366409
-0.25,-0.01577054691988484
-0.25,0.006574113712585475
-0.25,0.19188027435440452
0.0,0.17862721041653873
0.0,0.06677646114096913
0.0,-0.33078857384888605
0.0,0.01747908680228183
0.0,-0.4422489695590711
0.0,0.16296688670507364
0.0,0.2054159044897499
0.0,0.10500777941728323
0.5,-0.26945369379213335
0.5,0.0673713426559316
0.5,-0.04169851536563794
0.5,-0.1334449074890017
0.25,0.059323360544262745
0.25,0.12187673548114493
0.25,0.0013642532564723331
0.25,-0.07893951466378817
-0.25,0.16358603525666
-0.25,0.04029266177798734
-0.25,-0.20885344784672505
-0.25,-0.05509426856021466
-0.125,0.12627361282492203
-0.125,-0.11977254635868748
-0.125,0.20839075714027447
-0.125,-0.18639338659558077
-0.125,-0.009977627053291391
-0.125,-0.2646855191860039
-0.125,0.054816051363855166
-0.125,0.25744567790388007
0.125,0.03037707159431655
0.125,0.06416435642988991
0.125,-0.039024659896576906
0.125,0.1490623919992424
-0.25,0.12030763175395436
-0.25,0.03412302213859069
-0.25,-0.3634420128512645
-0.25,-0.06682569070761153
0.125,-0.024059457624950455
0.125,-0.26732472555456
0.125,-0.1021229220649468
0.125,0.11194932867818128
0.0,-0.09314051088415709
0.0,-0.050691493099480844
0.0,-0.008242475314804598
0.0,0.025544809520768652
